,Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year,ConversionRate
66,Pt/Al2O3@XIn2O3,Alloy,"Pt, In, O",Pt,Aluminum Oxide,{'single-pass conversion': '30%'},,,,,,PDH,"Propane, Propylene, Hydrogen, Oxygen",True,"{'Conversion': 'Catalyst design', 'Selectivity': 'Catalyst design', 'Stability': 'Catalyst design'}",,Nanoparticulate Alloys,Surface & Support Methods,,Stable for 25 h time-on-stream,,,,,,,,,,10.1016/j.mcat.2023.113554,2023.0,30.0
67,5% Pd/CeZrAlOx,Metal Oxide,"Ce, Zr, Al, O",Pd,Others,{'Propane conversion': '9.5%'},,"37% C3H8, 37% CO2, 26% He",773.15,15.0,GHSV = 6000 h-1,ODH,"C3H8, CO2, He",True,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",93.0,,,,140 h,140.0,,,,,,,,,10.1021/acscatal.7b03805,2018.0,9.5
68,Ga37Pt/Al2O3,Alloy,"Ga, Pt",Pt,Aluminum Oxide,{'Propane conversion': '3.7%'},,"10% Ar in propane, 10% CO in propane",723.15,,,PDH,"Propane, Ar, CO",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95.0,Single-atom Alloys,In Situ Synthesis,Ga,,,100.0,,,,,,,,10.1021/acscatal.8b04578,2019.0,3.7
69,"Single atom M-doped ZnO (M = Mn, Fe, Co, Ni, Cu, Ru, Rh, Pd, Ag, Os, Ir, Pt, Au)",Single Atom,"Zn, O, Mn, Fe, Co, Ni, Cu, Ru, Rh, Pd, Ag, Os, Ir, Pt, Au","M (M = Mn, Fe, Co, Ni, Cu, Ru, Rh, Pd, Ag, Os, Ir, Pt, Au)",Others,{},,,873.15,,,PDH,Propane,False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",,,,,,,,,,,,,,,10.1039/d0cy00609b,2020.0,
70,VOx/SiO2-Al2O3,Metal Oxide,"V, O","V, O",Silica Oxide,{'Propane conversion': '4-43%'},3.9-18.3x10^-4 min^-1,C3H8/N2=40:60,823.15,6.0,0.94 h^-1,PDH,"C3H8, N2",False,"{'Stability': 'Catalyst composition', 'Conversion': 'Catalyst composition'}",95.0,,,,3.9-18.3x10^-4 min^-1,0.11,,,,,,,,,10.1002/cctc.201500151,2015.0,43.0
71,MCM-22 zeolite,Others,"Si, Al",H,Zeolites,{'Butene conversion': '76-81%'},,,863.15,,0.8-50 h^-1,PDH,1-Butene,False,"{'Selectivity': 'Process conditions', 'Conversion': 'Higher temperature'}",46.0,,,,,,,,,,,,,,10.1016/j.apcata.2005.05.028,2005.0,81.0
72,Phosphated ceria,Metal Oxide,"Ce, P",Ce,,{'propane conversion': '5.4-14.1%'},,air to propane molar ratio = 2.5,823873.0,,,ODH,"propane, air",True,"{'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",74.0,,,,40 h,1.0,,73.6,0.47-2.15 x 10^6 mol g-1 s-1,,,,,,10.1002/cctc.201200699,2013.0,14.1
73,Pt1-Ge2/MgAl2O4,Alloy,"Pt, Ge",Pt,Oxides,{'propane conversion': '90%'},,"C3H8:H2=1:1, C3H8:H2:Ar = 10:10:4 ml/min",873.15,80.0,200 mg,PDH,"C3H8, H2, Ar",False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Support Material'}",97.0,Nanoparticulate Alloys,Impregnation Methods,Ge,,,10.0,87.0,,,,,,,10.1016/j.mcat.2022.112695,2022.0,90.0
74,Ga/Cr mixed oxide pillared α-zirconium phosphate,Metal Oxide,"Ga, Cr",Cr,Others,{'Propane conversion': '7-42%'},,,823673.0,28.3,25.7 gcat·h/mol propane,ODH,"Propane, Helium (PDH), Oxygen (ODH), Nitrogen (ODH)",True,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability (ODH)': 'Structural composition'}",91.0,,,,,,,,,,,,,,10.1021/la981042s,1999.0,42.0
75,Ga-doped γ-Al2O3,Metal Oxide,"Al, Ga, O","Ga, Al",Aluminum Oxide,{},,,873.0,,,PDH,Propane,False,{'Conversion': 'Structural Composition'},,,,,,,,,,,,,,,10.1039/d0cy01474e,2020.0,
76,Pd-In/Al2O3,Alloy,"Pd, In","Pd, In",Aluminum Oxide,{'Propane conversion': '92%'},,,613.15,,WHSV of 2 h-1,ODH,"C3H8, O2, He",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",99.0,Nanoparticulate Alloys,Impregnation Methods,,48 h,0.021,100.0,,,,,,,,10.1002/chem.202380361,2023.0,92.0
77,"V, Mo, W and Nb oxides",Metal Oxide,"V, Mo, W, Nb","V, Mo, W, Nb",Aluminum Oxide,{},,,,,,ODH,"propane, oxygen",True,{'Conversion': 'Electronic properties'},,,,,,,,,,,,,,,10.1006/jcat.2002.3620,2002.0,
78,Zn-BEA,Metal,Zn,Zn,Zeolites,{'Propane conversion': '16-77%'},,CO2:C3H8 = 6:1-15:2.5,873923.0,,"
          ",PDH,"C3H8, CO2, He",False,"{'Selectivity': 'Removal of Brønsted acid sites', 'Conversion': 'Addition of CO2', 'Stability': 'Removal of Brønsted acid sites'}",94.0,,,,,,,33.0,,,,,,,10.3390/catal13040681,2023.0,77.0
79,NiMo/MWCNT,Alloy,"Ni, Mo","Ni, Mo",Others,{'Propane conversion': '81%'},,propane to oxygen molar ratio of 2.5,828.15,100.0,"WHSV of 84,000 mL/gcat h",ODH,"propane, oxygen",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",42.68,Nanoparticulate Alloys,In Situ Synthesis,,Stable for 30 h of time-on-stream operation,0.0333,,34.6,"27,000 μmol/gcat h",,,,,,10.1016/j.compchemeng.2021.107295,2021.0,81.0
80,γ-Al2O3,Metal Oxide,Al,"Al, O",,{'N/A': 'N/A'},,,,,,PDH,Propane,False,{'Conversion': 'Surface hydration'},,,,,,,,,,,,,,,10.1021/acscatal.8b03484,2018.0,
81,Ga/HMFI,Metal Oxide,Ga,Ga,Zeolites,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,False,{'Stability': 'Catalyst composition'},,,,,,,,,,,,,,,10.1016/S0920-5861(96)00018-1,1996.0,
82,17.5Cr-2Ce/Al,Metal Oxide,"Cr, Ce, Al",Cr,Aluminum Oxide,{'Propane conversion': '22.9%'},,C3H8:N2 = 150:150 ml/min,823.15,,10 g,ODH,"Propane, Nitrogen",False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",85.05,,,Ce,,,,85.05,,,,,,,10.1016/j.cjche.2020.04.022,2020.0,22.9
83,10V-3Ce/Al,Metal Oxide,"V, Ce, Al",V,Aluminum Oxide,{'Propane conversion': '24.72%'},,N2:C3H8 = 45:5 (v/v),823.15,50.0,,ODH,"N2, C3H8",False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Yield': 'Structural Composition'}",83.42,,,Ce,,,,19.36,,,,,,,10.3390/catal13050797,2023.0,24.72
84,Zn-4@S-1,Metal,Zn,Zn,Zeolites,{'Propane conversion': '30%'},0.18 h^-1,10% C3H8 balanced by He,873.0,,WHSV = 2.4-4.8 h^-1,PDH,"C3H8, He",False,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",97.0,,,,0.18 h^-1,0.18,,41.0,,,,,,,10.1016/j.jechem.2021.04.034,2021.0,30.0
85,Cr/MCM-41/HNT,Metal Oxide,Cr,Cr,Others,{'Propane conversion': '45%'},0.19 h-1,CO2/C3H8 = 2,898.15,10.0,1 g,ODH,"Propane, CO2",True,"{'Conversion': 'Catalyst composition and structure', 'Selectivity': 'Catalyst composition and structure', 'Stability': 'Catalyst composition and structure'}",82.6,,,,Xc3h8 decreases from 0.45 to 0.26 in 1 hour,0.19,,,,,,,,,10.3390/catal13050882,2023.0,45.0
86,Mo-V-O nanowires,Metal Oxide,"Mo, V","Mo, V",Silica Oxide,{'Propane conversion': '92%'},,C3H8/O2/He = 1/1/8,873.15,,,,"C3H8, O2, He",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",89.0,,,,120 h,0.0083,,82.0,,,,,,,10.1021/acs.jpca.7b03649,2017.0,92.0
87,10% MoO3/CaMnO3,Metal Oxide,"Mo, Ca, Mn, O",Mo,Others,{'Propane conversion': '52%'},,,823.15,,,ODH,Propane,False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",59.0,,,,,,,30.6,,,,,,,10.1016/j.apcata.2023.119087,2023.0,52.0
88,Zn-modified high-silicon HZSM-5 zeolite,Metal,Zn,Zn,Zeolites,{'Naphtha conversion': '92.1%'},,Methanol/naphtha molar ratio = 15 wt%,923.15,,WHSV = 3.83 h-1,PDH,"Naphtha, Methanol",False,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition'}",51.7,,,,,,,28.3,,,,,,,10.1039/c9ra02793a,2019.0,92.1
89,Pt8-10 clusters,Metal,Pt,Pt,Aluminum Oxide,{'Propane conversion': '16-24%'}-{'Overall conversion': '70-80%'},,"C3H8:O2:He = 1:4:19 (DOCUMENT_4), C3H8:O2:He = 1:1:8 (DOCUMENT_1)",848.15,,1.2 mg/cm2 (DOCUMENT_4)-3.75 μmol/m2 (DOCUMENT_1),ODH,"C3H8, O2, He",True,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",93.0,,,,2400 min (DOCUMENT_4)-108 h (DOCUMENT_1),40.0,2.5,19.0,"
					",,,,,,10.1038/nnano.2015.140,2015.0,
90,V-based oxygen carrier,Metal Oxide,V,V,Aluminum Oxide,{'Propane conversion': '64%'},,C3H8/N2 = 1:1,888.15,40.0,,ODH,"C3H8, N2",False,"{'Selectivity': 'Preparation method and V loading', 'Conversion': 'V loading'}",90.0,,,,,,,5.0,,,,,,,10.3390/catal11010119,2021.0,64.0
91,Co-Zr/SiO2,Metal Oxide,"Co, Zr",Co,Silica Oxide,{'propane conversion': '10%'},negligible coke formation,3% propane in Ar,823.15,20.0,0.5 g,PDH,"Propane, Argon",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",97.0,,,Zr,20 h,0.05,,97.0,10 h-1,,,,,,10.1021/acsomega.8b00862,2018.0,10.0
92,Metal-doped ceria,Metal Oxide,"Ce, O, V, Mn, Fe, Co, Ni, Pd, Pt, Cu","Ce, O, Ni, Pd",,{'Propane conversion': '69%'},,,773.0,,,ODH,"C3H8, HCl, O2",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",80.0,,,HCl,,,,,,,,,,,10.3389/fchem.2023.1133865,2023.0,69.0
93,0.5 wt% Pt 1.5 wt% Sn/Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{},,,873.15,8.0,,PDH,propane,False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",90.0,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1039/d3cy00967j,2023.0,
94,14-KPtSn,Alloy,"Pt, Sn, K","Pt, Sn",Aluminum Oxide,{'Propane conversion': '24.9%'},5.3-7.9%,3:2 C3H8:H2,873.0,30.0,"53,000 mL/(gcat*h)",PDH,"C3H8, H2",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.9,Nanoparticulate Alloys,Impregnation Methods,K,5-15 h,1.0,,23.1,,,,,,,10.1007/s11164-015-2370-1,2016.0,24.9
95,ZnO coated SiO2,Metal Oxide,Zn,Zn,Silica Oxide,{'N/A': 'N/A'},,,,,,,,,{'N/A': 'N/A'},,,,,,,,,,,,,,,10.3390/nano10050981,2020.0,
96,V/Nb mixed oxides,Metal Oxide,"V, Nb",V,,{'propane conversion': '10-40%'},,"20% propane, 20% oxygen",698.15,,,ODH,"propane, oxygen",True,{'Selectivity': 'Process Conditions'},15.0,,,,,,,,,,,,,,10.1016/S0920-5861(02)00303-6,2003.0,40.0
97,Copper-ion-exchanged MFI-type zeolite (CuMFI),Metal,Cu,Cu,Zeolites,{'Propane conversion': 'N/A'},,,573.0,,,PDH,Propane (C3H8),False,{'Conversion': 'Reaction Temperature'},,,,,,,,,,,,,,,10.1016/j.vibspec.2019.103016,2020.0,
98,Silica- and alumina-supported molybdenum oxide,Metal Oxide,Mo,Mo,Silica Oxide,,,,,,,PDH,Propane,,{'Catalyst characterization': 'Combined operando UV-Vis/Raman/XAFS spectroscopy'},,,,,,,,,,,,,,,10.1039/b504027b,2005.0,
99,Oxygen-functionalized boron nitride,Others,"B, N, O","B, O",Boron-based,{'Propane conversion': '5-40%'},,C3H8:O2:N2 - 3:2:5,803.15,,1.4 gC3H8 gcat-1 h-1,ODH,"C3H8, O2, N2",True,"{'Selectivity': 'Oxygen functionalization', 'Conversion': 'Oxygen functionalization'}",90.0,,,,15 h,15.0,,90.0,,,,,,,10.1002/cctc.202200068,2022.0,40.0
100,Co(111) and Co(0001),Metal,Co,Co,,"{'Turnover Frequency (TOF)': '833.6 s-1 (Co(111)), 606.5 s-1 (Co(0001))'}",,,853.0,,,PDH,Propane,False,"{'Activity': 'Catalyst surface structure', 'Selectivity': 'Catalyst surface structure'}",,,,,,,,,,,,,,,10.1021/acs.jpcc.3c05358,2023.0,
101,Ni(111) catalyst,Metal,Ni,Ni,Others,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,False,"{'Conversion': 'Catalyst surface', 'Selectivity': 'Structural composition'}",,,,,,,,,,,,,,,10.1021/acs.jpcc.8b03939,2018.0,
102,H-GaMFI,Metal Oxide,"Ga, Si",Ga,Zeolites,{'Propane conversion': '20-45%'},Faster for regenerated catalyst,50 mol% propane,823.15,,1 g catalyst,PDH,"Propane, Nitrogen",False,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",65.5,,,,4 h,0.25,,,,,,,,,10.1016/S0926-860X(97)00355-4,1998.0,45.0
103,Chromia-zirconia,Metal Oxide,"Cr, Zr",Cr,Others,{'Propane conversion': '15-67%'},,12 vol% C3H8 in He,813.0,53.0,0.25 g,PDH,"C3H8, He",False,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Process conditions'}",99.0,,,K,,,,,,,,,,,10.1016/j.tca.2005.01.017,2005.0,67.0
104,IrGa/Al2O3,Alloy,"Ir, Ga","Ir, Ga",Aluminum Oxide,{'propane conversion': '19%'},,C3H8:H2:N2 = 1:1:2,823.15,40.0,,PDH,"C3H8, H2, N2",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",98.0,Single-atom Alloys,Others,,100 h,4.17,,18.6,,,,,,,10.1002/cctc.202201405,2023.0,19.0
105,,Others,"Br, I","Br, I",,{'Single-pass conversion': '80%'},,C3H8:Br2 = 1:1,798.0,,,ODH,"Propane, Bromine, Iodine",True,"{'Conversion': 'Feed Composition', 'Selectivity': 'Feed Composition', 'Yield': 'Feed Composition'}",85.0,,,,,,,,,,,,,,10.1002/cctc.201200913,2013.0,80.0
106,Cr/H-ZSM5,Metal,Cr,Cr,Others,{'propane conversion': '75%'},0.04 h-1,C3H8/O2 = 2,773.15,36.0,0.2 g,ODH,"C3H8, O2",True,"{'Selectivity': 'Cr loading on H-ZSM5', 'Stability': 'H-ZSM5 support'}",94.0,,,,48 h,,10.0,70.0,60 μmol/gcat/s,,,,,,10.1016/j.cattod.2023.114041,2023.0,75.0
107,Pt-Sn/Al2O3,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'propane conversion': '79%'},,N2:H2:C3H8 = 70:30:30,873.15,70.0,11.8 h-1,PDH,"N2, H2, C3H8",False,"{'Conversion': 'Preparation Method', 'Stability': 'Structural Composition'}",94.0,Intermetallic Compounds,Impregnation Methods,,,,,27.3,,,,,,,10.3390/catal10080898,2020.0,79.0
108,1%V2O5/TiO2,Metal Oxide,"V, Ti",V,Others,{'propane conversion': '27%'},,propane:oxygen - 1.27,630.0,,20-100 g,ODH,"propane, oxygen",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Process Conditions'}",31.8,,,,,,33.6,8.5,,,,,,,10.1016/S0009-2509(00)00280-3,2001.0,27.0
109,γ-Ga2O3/SiO2–H2,Metal Oxide,"Ga, O, Si",Ga,Silica Oxide,{'propane conversion': '10.3 mol/mol Ga/h'},25% lower coking relative to untreated γ-Ga2O3/SiO2,10% C3H8 in N2,823.15,,,PDH,"C3H8, N2",False,"{'Stability': 'H2 pretreatment', 'Selectivity': 'H2 pretreatment'}",72.0,,,,104 min,1.73,,72.0,10.3 mol/mol Ga/h,,,,,,10.1039/d2cy00074a,2022.0,
110,"Sodium metavanadate, sodium trivanadate, and sodium decavanadate supported on silica",Metal Oxide,"V, Na",V,Silica Oxide,{'Propane conversion': '1-9%'},,C3H8/air = 2:5,723.15,21.0,WHSV = 6.8 h-1,ODH,"C3H8, O2",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",79.0,,,Na,3 h,3.0,,70.0,0.41 kgC3H6 kgcat-1 h-1,,,,,,10.1021/acscatal.9b04752,2020.0,9.0
111,CeO2,Metal Oxide,"Ce, O","Ce, O",,,,,850.0,,,PDH,"Propane, C3H8",False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",,,,,,,,,,,,,,,10.1002/cjoc.202100135,2021.0,
112,Ga/H-ZSM-5,Metal,Ga,Ga,Zeolites,{'Single-pass conversion': '18%'},,,823.15,,,PDH,Propane,False,{'Conversion': 'Active species'},92.0,,,,,,,,,,,,,,10.1021/acscatal.1c05724,2022.0,18.0
113,Pt-Fe intermetallic compound catalysts,Alloy,"Pt, Fe",Pt,Silica Oxide,{'Propane conversion': '10-40%'},,"2.5% C3H8, balance N2, 1.7% C3H8, 1.7% H2, balance N2",823.15,,,PDH,"C3H8, N2, H2",False,{'Selectivity': 'Structural Composition'},98.0,Intermetallic Compounds,Impregnation Methods,,,,,,,,,,,,10.1002/cctc.201901869,2020.0,40.0
114,Sm0.96MnO3,Metal Oxide,"Sm, Mn, O",Mn,,{'Propane conversion': '4-8%'},,"C3H8/O2/N2/H2O = 5/10/45/40, C3H8/O2/N2 = 5/10/85",573.15,,,ODH,"C3H8, O2, N2, H2O",True,"{'Selectivity': 'Structural composition', 'Conversion': 'Process conditions'}",83.0,,,,,,,,,,,,,,10.3389/fchem.2021.746229,2021.0,8.0
115,CrOx/Al2O3,Metal Oxide,"Cr, O, Al",Cr,Aluminum Oxide,{'propane conversion': '39-49%'},49% to 39% conversion over 6 hours,,823.15,5000.0,WHSV=0.1 h-1,PDH,"propane, N2",False,"{'Stability': 'Process Conditions', 'Selectivity': 'Process Conditions'}",89.0,,,Na,6 hours,1.0,,,,,,,,,10.1002/cctc.201402649,2014.0,49.0
116,VOx/Siral,Metal Oxide,V,"V, O",Aluminum Oxide,{'Propane conversion': '30%'},Decreases over time,"40% C3H8, 60% N2",823.15,6.0,1200 L/h/kg,PDH,"C3H8, N2",False,"{'Stability': 'Support Material', 'Conversion': 'Support Material', 'Selectivity': 'Support Material'}",95.0,,,,6-27 h,27.0,,95.0,158 kgC3H6 h-1 mcatalyst-3,,,,,,10.1039/c3cy01083j,2014.0,30.0
117,Ni-Zn-Fe-Bi/γ-Al2O3,Metal Oxide,"Ni, Zn, Fe, Bi",Ni,Aluminum Oxide,{'n-butane conversion': '18.6%'},,O2/n-butane = 2.0 mol/mol,723.15,,,ODH,"n-butane, Oxygen",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",49.0,,,"Zn, Fe",,,,,,,,,,,10.1016/j.mcat.2023.113067,2023.0,18.6
118,PtSn/SAPO-34,Alloy,"Pt, Sn",Pt,Others,{'propane conversion': '92%'},0.0042 (h-1),C3H8/O2/He = 1/1/8,773.15,,1 (g),ODH,"C3H8, O2, He",True,"{'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",85.0,Nanoparticulate Alloys,Impregnation Methods,Sn,240 (min),0.0069,,78.0,1.2 (mmol/gcat h),,,,,,10.1021/acscatal.0c02209,2020.0,92.0
119,Pt3Mn intermetallic nanoparticles,Alloy,"Pt, Mn","Pt, Mn",Silica Oxide,{'propane conversion': '40-45%'},0 h-1,,823.15,200.0,1 g,PDH,"Propane, Hydrogen, Nitrogen",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",98.0,Intermetallic Compounds,Impregnation Methods,,stable for 1 week,0.14,,,,,,,,,10.1021/jacs.8b08162,2018.0,45.0
120,Pt/Al2O3 with ALD Al2O3 overcoat,Metal,"Pt, Al",Pt,Aluminum Oxide,{'Propane conversion': '10-20%'},,C3H8:H2 = 1:1,873.15,260.0,"26,000,000 mL h-1gPt-1 - 390,000 h-1",PDH,"C3H8, H2",False,"{'Selectivity': 'ALD Al2O3 overcoat', 'Stability': 'ALD Al2O3 overcoat'}",96.0,,,,1 h steaming,,,,,,,,,,10.1021/acscatal.0c03391,2020.0,20.0
121,5 wt% Cr/D-ERB-1,Metal Oxide,Cr,Cr,Zeolites,{'ethane conversion': '50%'},15% (6 h),C2H6:CO2:N2 = 5:15:30,973.0,,0.5 g catalyst,ODH,"C2H6, CO2, N2",True,"{'Conversion': 'Hydroxyl groups on support', 'Selectivity': 'Cr(VI) species', 'Stability': 'Ti addition'}",90.0,,,,6 h,,,90.0,,,,,,,10.1016/j.apcata.2022.118542,2022.0,50.0
122,GaN/MCM-41,Metal Oxide,"Ga, N","Ga, N",Silica Oxide,{'Propane conversion': '89-98%'},,C3H8/N2,3323.1499999999996,120.0,"0.2 g or 30,000-72,000 h-1",PDH,"C3H8, N2",False,"{'Conversion': 'Preparation Method', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.0,,,,Stable for 48-60 h,0.021,,91.0,0.6-1.2 mol/g cat/h,,,,,,10.1002/cctc.202201063,2022.0,98.0
123,5% ZrO2/TiO2 binary metal oxide,Metal Oxide,"Zr, Ti","Zr, Ti",Others,{'Propane conversion': '59-90%'},,CO2:C3H8 ratio 1:1.4 to 12.2:1,873.15,,"0.3 g, GHSV 9.6 h-1",PDH,"Propane, CO2",False,"{'Selectivity': 'Feed Composition and Ratios', 'Stability': 'Feed Composition and Ratios'}",63.0,,,,29-203 hours,203.0,,45.0,,,,,,,10.1016/j.jece.2020.104989,2021.0,90.0
124,PtSnIn/1.5Ca-Al,Alloy,"Pt, Sn, In","Pt, Sn, In",Aluminum Oxide,{'propane conversion': '60.1%'},1.2% decrease after 22 h,H2:C3H8:Ar = 7:8:35,873.15,,0.3 g,PDH,"H2, C3H8, Ar",False,{'Stability': 'Promoter Addition'},97.5,Nanoparticulate Alloys,Impregnation Methods,Ca,1.2% decrease over 22 h,0.055,,58.1,,,,,,,10.1016/j.cej.2014.07.044,2014.0,60.1
125,RhSn/γ-Al2O3,Alloy,"Rh, Sn",Rh,Aluminum Oxide,{'Propane conversion': '30.8%'},27.2% over 20 h,H2:N2:C3H8 = 1:1:1,873.15,30.0,WHSV = 10.8 h-1,PDH,"H2, N2, C3H8",False,"{'Selectivity': 'Sn addition', 'Conversion': 'Sn addition', 'Stability': 'Increasing Sn content'}",96.3,Nanoparticulate Alloys,Impregnation Methods,Sn,27 h,1.0,,26.8,,,,,,,10.1016/j.jcat.2020.09.016,2020.0,30.8
126,PtSn clusters in MFI zeolite,Alloy,"Pt, Sn",Pt,Zeolites,{'Propane conversion': '50%'},"0.20 h-1, 0.067 h-1",Propane:N2 = 1:3.3,873.15,21.5,20 mg catalyst,PDH,"Propane, Nitrogen",False,"{'Stability': 'Catalyst preparation method', 'Selectivity': 'Catalyst preparation method'}",97.0,Others,Heat Treatment,Sn,15 h,0.067,,48.0,,,,,,,10.1038/s41929-020-0472-7,2020.0,50.0
127,Pd3Pb intermetallic nanoparticles,Alloy,"Pd, Pb",Pd,Aluminum Oxide,{'Phenylacetylene conversion': '~100%'},,,298.15,,,PDH,"Hydrogen, Phenylacetylene",False,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",98.0,Intermetallic Compounds,Heat Treatment,Pb,,,,,,,,,,,10.1021/acs.inorgchem.2c00796,2022.0,100.0
128,β-NaVO3/SiO2,Metal Oxide,"V, Na, Si, O",V,Silica Oxide,{'propane conversion': '8.2%'},21% over 4 h,,723.15,21.0,1 V nm-2,ODH,"C3H8, Air",True,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",59.0,,,Na,4 h,0.25,,,,,,,,,10.1039/d0cy01234c,2020.0,8.2
129,Y-doped TiO2,Metal Oxide,"Ti, O, Y",Ti,,{'propane conversion': '42%'},,C3H8/N2 = 1.5:15,873.15,16.5,0.4 g,PDH,"C3H8, N2",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.0,,,,10 cycles,10.0,,39.0,,,,,,,10.1016/j.jre.2023.03.007,2023.0,42.0
130,PtIn/Mg(Al)O-p8,Alloy,"Pt, In",Pt,Others,{'Propane conversion': '51.7%'},,H2:C3H8:Ar = 7:8:35,893.15,,WHSV = 3.3 h-1,PDH,"H2, C3H8, Ar",False,"{'Conversion': 'Preparation method (pH control)', 'Selectivity': 'Preparation method (pH control)', 'Stability': 'Preparation method (pH control)'}",95.5,Nanoparticulate Alloys,Impregnation Methods,In,28 h,1.75,,37.0,,,,,,,10.1016/j.jcat.2016.02.028,2016.0,51.7
131,Chromia catalyst,Metal Oxide,Cr,Cr,Aluminum Oxide,{'Propane conversion': '50%'},10-10000 min,,873.0,,,PDH,Propane,False,"{'Conversion': 'Reactor design', 'Stability': 'Reactor design'}",95.0,,,,10-10000 min,1.67,,,,,,,,,10.1016/S0920-5861(01)00372-8,2001.0,50.0
132,60-VOX-SiO2-580,Metal Oxide,"V, Si, O",V,Silica Oxide,{'propane conversion': '55%'},15% decrease over 6 hours,C3H8/Ar = 1:10,853.15,16.5,3300 cm3 g-1 cat h-1,PDH,"C3H8, Ar",False,"{'Conversion': 'Preparation Method', 'Selectivity': 'Structural Composition', 'Stability': 'Preparation Method'}",91.0,,,,stable for 8 reaction-regeneration cycles,,,50.0,4.05 × 10-3 mol/h,,,,,,10.1016/j.jcat.2017.12.004,2018.0,55.0
133,Au/TS-1-B,Metal,Au,Au,Zeolites,{'Propylene conversion': '10-20%'},,C3H6:H2:O2:N2 = 1:1:1:7 (volumetric ratio),473.15,35.0,,ODH,"C3H6, H2, O2, N2",True,"{'Selectivity': 'Preparation Method', 'Conversion': 'Preparation Method', 'Stability': 'Preparation Method'}",91.0,,,Ti,24 h,1.0,,40.0,100-144 gPO h-1 kgCat-1,,,,,,10.1016/j.ces.2020.115907,2020.0,20.0
134,0.5Pt-5Sn/Si-beta,Alloy,"Pt, Sn","Pt, Sn",Zeolites,{'propane conversion': '37%'},0.0125 h^-1,C3H8:O2 = 2:1,773.0,40.0,"GHSV = 20,000 h^-1",ODH,"C3H8, O2",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",75.0,Nanoparticulate Alloys,Impregnation Methods,,26% conversion after 8 h,3.25,,28.0,0.49 molC3H8 molPt^-1 s^-1,,,,,,10.1039/c8cy00712h,2018.0,37.0
