Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year
VOx/ZrO2,Metal Oxide,"V, Zr, O","V, O",ZrO2,{'propane conversion': 'N/A'},,,,,,ODH,"C3H8, O2",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",,,,,,,,,,,,,,,10.1006/jcat.1999.2510,1999.0
Pt/Al2O3@XIn2O3,Alloy,"Pt, In, O",Pt,Al2O3,{'single-pass conversion': '30%'},,,,,,PDH,"Propane, Propylene, Hydrogen, Oxygen",Yes,"{'Conversion': 'Catalyst design', 'Selectivity': 'Catalyst design', 'Stability': 'Catalyst design'}",,Nanoparticulate Alloys,Atomic Layer Deposition,,Stable for 25 h time-on-stream,,,,,,,,,,10.1016/j.mcat.2023.113554,2023.0
5% Pd/CeZrAlOx,Metal Oxide,"Ce, Zr, Al, O",Pd,CeZrAlOx,{'Propane conversion': '9.5%'},,"37% C3H8, 37% CO2, 26% He",500℃,15 cm3/min,GHSV = 6000 h-1,ODH,"C3H8, CO2, He",Yes,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",93%,,,,140 h,140 h-1,,,,,,,,,10.1021/acscatal.7b03805,2018.0
Ga37Pt/Al2O3,Alloy,"Ga, Pt",Pt,Alumina,{'Propane conversion': '3.7%'},,"10% Ar in propane, 10% CO in propane",450 °C,,,PDH,"Propane, Ar, CO",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95%,Single-atom Alloys,In Situ Synthesis,Ga,,,1 bar,,,,,,,,10.1021/acscatal.8b04578,2019.0
"Single atom M-doped ZnO (M = Mn, Fe, Co, Ni, Cu, Ru, Rh, Pd, Ag, Os, Ir, Pt, Au)",Single Atom,"Zn, O, Mn, Fe, Co, Ni, Cu, Ru, Rh, Pd, Ag, Os, Ir, Pt, Au","M (M = Mn, Fe, Co, Ni, Cu, Ru, Rh, Pd, Ag, Os, Ir, Pt, Au)",ZnO,{},,,873.15 K,,,PDH,Propane,No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",,,,,,,,,,,,,,,10.1039/d0cy00609b,2020.0
VOx/SiO2-Al2O3,Metal Oxide,"V, O","V, O",Silica-Alumina,{'Propane conversion': '4-43%'},3.9-18.3x10^-4 min^-1,C3H8/N2=40:60,550℃,6 mL/min,0.94 h^-1,PDH,"C3H8, N2",No,"{'Stability': 'Catalyst composition', 'Conversion': 'Catalyst composition'}",60-95%,,,,3.9-18.3x10^-4 min^-1,0.023-0.11 h^-1,,,,,,,,,10.1002/cctc.201500151,2015.0
MCM-22 zeolite,Zeolite,"Si, Al",H,Zeolite,{'Butene conversion': '76-81%'},,,530-650℃,,0.8-50 h^-1,PDH,1-Butene,No,"{'Selectivity': 'Process conditions', 'Conversion': 'Higher temperature'}",35-46%,,,,,,,,,,,,,,10.1016/j.apcata.2005.05.028,2005.0
Phosphated ceria,Metal Oxide,"Ce, P",Ce,,{'propane conversion': '5.4-14.1%'},,air to propane molar ratio = 2.5,823-873 K,9000 h-1,,ODH,"propane, air",Yes,"{'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",30.1-74%,,,,40 h,1 h-1,,21.8-73.6%,0.47-2.15 x 10^6 mol g-1 s-1,,,,,,10.1002/cctc.201200699,2013.0
Pt1-Ge2/MgAl2O4,Alloy,"Pt, Ge",Pt,MgAl2O4,{'propane conversion': '90%'},,"C3H8:H2=1:1, C3H8:H2:Ar = 10:10:4 ml/min",600°C,80 ml/min,200 mg,PDH,"C3H8, H2, Ar",No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Support Material'}",97%,Nanoparticulate Alloys,Impregnation Methods,Ge,,,10 kPa,87%,,,,,,,10.1016/j.mcat.2022.112695,2022.0
Ga/Cr mixed oxide pillared α-zirconium phosphate,Metal Oxide,"Ga, Cr",Cr,α-zirconium phosphate,{'Propane conversion': '7-42%'},,,"823 K (PDH), 673 K (ODH)",28.3 mL/min,25.7 gcat·h/mol propane,"PDH, ODH","Propane, Helium (PDH), Oxygen (ODH), Nitrogen (ODH)","No (PDH), Yes (ODH)","{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability (ODH)': 'Structural composition'}",78-91%,,,,,,,,,,,,,,10.1021/la981042s,1999.0
Ga-doped γ-Al2O3,Metal Oxide,"Al, Ga, O","Ga, Al",γ-Al2O3,{},,,873 K,,,PDH,Propane,No,{'Conversion': 'Structural Composition'},,,,,,,,,,,,,,,10.1039/d0cy01474e,2020.0
Pd-In/Al2O3,Alloy,"Pd, In","Pd, In",Al2O3,{'Propane conversion': '92%'},,,340 °C,,WHSV of 2 h-1,ODH,"C3H8, O2, He",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",99%,Nanoparticulate Alloys,Impregnation Methods,,48 h,0.021 h-1,0.1 MPa,,,,,,,,10.1002/chem.202380361,2023.0
"V, Mo, W and Nb oxides",Metal Oxide,"V, Mo, W, Nb","V, Mo, W, Nb","Al2O3, ZrO2, MgO",{},,,,,,ODH,"propane, oxygen",Yes,{'Conversion': 'Electronic properties'},,,,,,,,,,,,,,,10.1006/jcat.2002.3620,2002.0
Zn-BEA,Metal,Zn,Zn,BEA Zeolite,{'Propane conversion': '16-77%'},,CO2:C3H8 = 6:1-15:2.5,873-923 K,,"
          ",PDH,"C3H8, CO2, He",No,"{'Selectivity': 'Removal of Brønsted acid sites', 'Conversion': 'Addition of CO2', 'Stability': 'Removal of Brønsted acid sites'}",86-94%,,,,,,,16-33%,,,,,,,10.3390/catal13040681,2023.0
NiMo/MWCNT,Alloy,"Ni, Mo","Ni, Mo",MWCNT,{'Propane conversion': '81%'},,propane to oxygen molar ratio of 2.5,555 °C,100 mL/min,"WHSV of 84,000 mL/gcat h",ODH,"propane, oxygen",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",42.68%,Nanoparticulate Alloys,In Situ Synthesis,,Stable for 30 h of time-on-stream operation,0.0333 h-1,,34.6%,"27,000 μmol/gcat h",,,,,,10.1016/j.compchemeng.2021.107295,2021.0
γ-Al2O3,Metal Oxide,Al,"Al, O",,{'N/A': 'N/A'},,,,,,PDH,Propane,No,{'Conversion': 'Surface hydration'},,,,,,,,,,,,,,,10.1021/acscatal.8b03484,2018.0
Ga/HMFI,Metal Oxide,Ga,Ga,HMFI zeolite,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,No,{'Stability': 'Catalyst composition'},,,,,,,,,,,,,,,10.1016/S0920-5861(96)00018-1,1996.0
17.5Cr-2Ce/Al,Metal Oxide,"Cr, Ce, Al",Cr,Alumina,{'Propane conversion': '22.9%'},,C3H8:N2 = 150:150 ml/min,550 °C,,10 g,ODH,"Propane, Nitrogen",No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",85.05%,,,Ce,,,,85.05%,,,,,,,10.1016/j.cjche.2020.04.022,2020.0
10V-3Ce/Al,Metal Oxide,"V, Ce, Al",V,Alumina,{'Propane conversion': '24.72%'},,N2:C3H8 = 45:5 (v/v),550℃,50 mL/min,,ODH,"N2, C3H8",No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Yield': 'Structural Composition'}",83.42%,,,Ce,,,,19.36%,,,,,,,10.3390/catal13050797,2023.0
Zn-4@S-1,Metal,Zn,Zn,S-1 Zeolite,{'Propane conversion': '30%'},0.18 h^-1,10% C3H8 balanced by He,873 K,WHSV = 2.4-4.8 h^-1,WHSV = 2.4-4.8 h^-1,PDH,"C3H8, He",No,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",97%,,,,0.18 h^-1,0.18 h^-1,,41%,,,,,,,10.1016/j.jechem.2021.04.034,2021.0
Cr/MCM-41/HNT,Metal Oxide,Cr,Cr,MCM-41 templated on halloysite nanotubes,{'Propane conversion': '45%'},0.19 h-1,CO2/C3H8 = 2,550-700℃,10 mL/min,1 g,ODH,"Propane, CO2",Yes,"{'Conversion': 'Catalyst composition and structure', 'Selectivity': 'Catalyst composition and structure', 'Stability': 'Catalyst composition and structure'}",82.6%,,,,Xc3h8 decreases from 0.45 to 0.26 in 1 hour,0.19 h-1,Atmospheric,,,,,,,,10.3390/catal13050882,2023.0
Mo-V-O nanowires,Metal Oxide,"Mo, V","Mo, V",Silica,{'Propane conversion': '92%'},,C3H8/O2/He = 1/1/8,600℃,,,,"C3H8, O2, He",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",89%,,,,120 h,0.0083 h^-1,,82%,,,,,,,10.1021/acs.jpca.7b03649,2017.0
10% MoO3/CaMnO3,Metal Oxide,"Mo, Ca, Mn, O",Mo,CaMnO3 perovskite,{'Propane conversion': '52%'},,,550°C,,,ODH,Propane,No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",59%,,,,,,,30.6%,,,,,,,10.1016/j.apcata.2023.119087,2023.0
Zn-modified high-silicon HZSM-5 zeolite,Metal,Zn,Zn,Zeolite,{'Naphtha conversion': '92.1%'},,Methanol/naphtha molar ratio = 15 wt%,650℃,,WHSV = 3.83 h-1,PDH,"Naphtha, Methanol",No,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition'}",51.7%,,,,,,,28.3%,,,,,,,10.1039/c9ra02793a,2019.0
Pt8-10 clusters,Metal,Pt,Pt,Alumina,{'Propane conversion': '16-24%'}-{'Overall conversion': '70-80%'},,"C3H8:O2:He = 1:4:19 (DOCUMENT_4), C3H8:O2:He = 1:1:8 (DOCUMENT_1)",575°C,,1.2 mg/cm2 (DOCUMENT_4)-3.75 μmol/m2 (DOCUMENT_1),ODH,"C3H8, O2, He",Yes,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",85-93%,,,,2400 min (DOCUMENT_4)-108 h (DOCUMENT_1),40 h-1 (DOCUMENT_4)-0.00926 h-1 (DOCUMENT_1),2.5 kPa (DOCUMENT_4),14-19% (DOCUMENT_4)-70-80% (DOCUMENT_1),"
					",,,,,,10.1038/nnano.2015.140,2015.0
V-based oxygen carrier,Metal Oxide,V,V,Alumina,{'Propane conversion': '64%'},,C3H8/N2 = 1:1,615 ℃,40 mL/min,,ODH,"C3H8, N2",No,"{'Selectivity': 'Preparation method and V loading', 'Conversion': 'V loading'}",90%,,,,,,,5%,,,,,,,10.3390/catal11010119,2021.0
Co-Zr/SiO2,Metal Oxide,"Co, Zr",Co,Silica Oxide,{'propane conversion': '10%'},negligible coke formation,3% propane in Ar,550℃,20 mL/min,0.5 g,PDH,"Propane, Argon",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",97%,,,Zr,20 h,0.05 h-1,,97%,10 h-1,,,,,,10.1021/acsomega.8b00862,2018.0
Metal-doped ceria,Metal Oxide,"Ce, O, V, Mn, Fe, Co, Ni, Pd, Pt, Cu","Ce, O, Ni, Pd",,{'Propane conversion': '69%'},,,773 K,,,ODH,"C3H8, HCl, O2",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",80%,,,HCl,,,,,,,,,,,10.3389/fchem.2023.1133865,2023.0
0.5 wt% Pt 1.5 wt% Sn/Al2O3,Alloy,"Pt, Sn",Pt,Al2O3,{},,,600℃,8 mL/min,,PDH,propane,No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",90%,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1039/d3cy00967j,2023.0
14-KPtSn,Alloy,"Pt, Sn, K","Pt, Sn",Alumina,{'Propane conversion': '24.9%'},5.3-7.9%,3:2 C3H8:H2,873 K,30 mL/min,"53,000 mL/(gcat*h)",PDH,"C3H8, H2",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.9%,Nanoparticulate Alloys,Impregnation Method,K,5-15 h,0.067-1 h-1,,23.1%,,,,,,,10.1007/s11164-015-2370-1,2016.0
ZnO coated SiO2,Metal Oxide,Zn,Zn,Silica Oxide,{'N/A': 'N/A'},,,,,,,,,{'N/A': 'N/A'},,,,,,,,,,,,,,,10.3390/nano10050981,2020.0
V/Nb mixed oxides,Metal Oxide,"V, Nb",V,,{'propane conversion': '10-40%'},,"20% propane, 20% oxygen",300-550°C,,,ODH,"propane, oxygen",Yes,{'Selectivity': 'Process Conditions'},7-15%,,,,,,,,,,,,,,10.1016/S0920-5861(02)00303-6,2003.0
Copper-ion-exchanged MFI-type zeolite (CuMFI),Metal,Cu,Cu,Zeolite,{'Propane conversion': 'N/A'},,,573 K,,,PDH,Propane (C3H8),No,{'Conversion': 'Reaction Temperature'},,,,,,,,,,,,,,,10.1016/j.vibspec.2019.103016,2020.0
Silica- and alumina-supported molybdenum oxide,Metal oxide,Mo,Mo,"Silica, Alumina",,,,,,,PDH,Propane,,{'Catalyst characterization': 'Combined operando UV-Vis/Raman/XAFS spectroscopy'},,,,,,,,,,,,,,,10.1039/b504027b,2005.0
Oxygen-functionalized boron nitride,Other,"B, N, O","B, O",Boron nitride,{'Propane conversion': '5-40%'},,C3H8:O2:N2 - 3:2:5,530℃,,1.4 gC3H8 gcat-1 h-1,ODH,"C3H8, O2, N2",Yes,"{'Selectivity': 'Oxygen functionalization', 'Conversion': 'Oxygen functionalization'}",80-90%,,,,15 h,15 h-1,,80-90%,,,,,,,10.1002/cctc.202200068,2022.0
Co(111) and Co(0001),Metal,Co,Co,,"{'Turnover Frequency (TOF)': '833.6 s-1 (Co(111)), 606.5 s-1 (Co(0001))'}",,,853 K,,,PDH,Propane,No,"{'Activity': 'Catalyst surface structure', 'Selectivity': 'Catalyst surface structure'}",See comparison in Figure 8d,,,,,,,,,,,,,,10.1021/acs.jpcc.3c05358,2023.0
Ni(111) catalyst,Metal,Ni,Ni,Ni(111) surface,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,No,"{'Conversion': 'Catalyst surface', 'Selectivity': 'Structural composition'}",,,,,,,,,,,,,,,10.1021/acs.jpcc.8b03939,2018.0
H-GaMFI,Metal Oxide,"Ga, Si",Ga,Zeolite (MFI),{'Propane conversion': '20-45%'},Faster for regenerated catalyst,50 mol% propane,550℃,3100 cm3/g/h,1 g catalyst,PDH,"Propane, Nitrogen",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",47.5-65.5%,,,,4 h,0.25 h-1,,,,,,,,,10.1016/S0926-860X(97)00355-4,1998.0
Chromia-zirconia,Metal Oxide,"Cr, Zr",Cr,Zirconia,{'Propane conversion': '15-67%'},,12 vol% C3H8 in He,813 K,53 cm3/min,0.25 g,PDH,"C3H8, He",No,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Process conditions'}",99%,,,K,,,133 Pa,,,,,,,,10.1016/j.tca.2005.01.017,2005.0
IrGa/Al2O3,Alloy,"Ir, Ga","Ir, Ga",Al2O3,{'propane conversion': '19%'},,C3H8:H2:N2 = 1:1:2,550℃,40 mL/min,,PDH,"C3H8, H2, N2",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",98%,Single-atom Alloys,Electrostatic Adsorption Method,,100 h,4.17 h-1,,18.6%,,,,,,,10.1002/cctc.202201405,2023.0
,,"Br, I","Br, I",,{'Single-pass conversion': '80%'},,C3H8:Br2 = 1:1,798 K,,,ODH,"Propane, Bromine, Iodine",Yes,"{'Conversion': 'Feed Composition', 'Selectivity': 'Feed Composition', 'Yield': 'Feed Composition'}",85%,,,,,,,,,,,,,,10.1002/cctc.201200913,2013.0
Cr/H-ZSM5,Metal,Cr,Cr,H-ZSM5,{'propane conversion': '75%'},0.04 h-1,C3H8/O2 = 2,500°C,36 mL/min,0.2 g,ODH,"C3H8, O2",Yes,"{'Selectivity': 'Cr loading on H-ZSM5', 'Stability': 'H-ZSM5 support'}",94%,,,,48 h,2,10 kPa,70%,60 μmol/gcat/s,,,,,,10.1016/j.cattod.2023.114041,2023.0
Pt-Sn/Al2O3,Alloy,"Pt, Sn","Pt, Sn",Alumina,{'propane conversion': '79%'},,N2:H2:C3H8 = 70:30:30,600℃,"N2: 70 mL/min, H2: 30 mL/min, C3H8: 30 mL/min",11.8 h-1,PDH,"N2, H2, C3H8",No,"{'Conversion': 'Preparation Method', 'Stability': 'Structural Composition'}",94%,Intermetallic Compounds,Impregnation Methods,,,,,27.3%,,,,,,,10.3390/catal10080898,2020.0
1%V2O5/TiO2,Metal Oxide,"V, Ti",V,TiO2,{'propane conversion': '27%'},,propane:oxygen - 1.27,630 K,,20-100 g,ODH,"propane, oxygen",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Process Conditions'}",31.8%,,,,,,33.6 kPa,8.5%,,,,,,,10.1016/S0009-2509(00)00280-3,2001.0
γ-Ga2O3/SiO2–H2,Metal Oxide,"Ga, O, Si",Ga,Silica Oxide,{'propane conversion': '10.3 mol/mol Ga/h'},25% lower coking relative to untreated γ-Ga2O3/SiO2,10% C3H8 in N2,550°C,7.2 h-1,,PDH,"C3H8, N2",No,"{'Stability': 'H2 pretreatment', 'Selectivity': 'H2 pretreatment'}",72%,,,,104 min,1.73 h-1,,72%,10.3 mol/mol Ga/h,,,,,,10.1039/d2cy00074a,2022.0
"Sodium metavanadate, sodium trivanadate, and sodium decavanadate supported on silica",Metal Oxide,"V, Na",V,Silica,{'Propane conversion': '1-9%'},,C3H8/air = 2:5,450 °C,21 mL min-1,WHSV = 6.8 h-1,ODH,"C3H8, O2",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",62-79%,,,Na,3 h,3 h-1,,70%,0.41 kgC3H6 kgcat-1 h-1,,,,,,10.1021/acscatal.9b04752,2020.0
CeO2,Metal Oxide,"Ce, O","Ce, O",,,,,850 K,,,PDH,"Propane, C3H8",No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",,,,,,,,,,,,,,,10.1002/cjoc.202100135,2021.0
Ga/H-ZSM-5,Metal,Ga,Ga,Zeolite (H-ZSM-5),{'Single-pass conversion': '18%'},,,550℃,,,PDH,Propane,No,{'Conversion': 'Active species'},91-92%,,,,,,,,,,,,,,10.1021/acscatal.1c05724,2022.0
Pt-Fe intermetallic compound catalysts,Alloy,"Pt, Fe",Pt,Silica,{'Propane conversion': '10-40%'},,"2.5% C3H8, balance N2, 1.7% C3H8, 1.7% H2, balance N2",550℃,,,PDH,"C3H8, N2, H2",No,{'Selectivity': 'Structural Composition'},94-98%,Intermetallic Compounds,Sequential incipient wetness impregnation,,,,,,,,,,,,10.1002/cctc.201901869,2020.0
Sm0.96MnO3,Metal Oxide,"Sm, Mn, O",Mn,,{'Propane conversion': '4-8%'},,"C3H8/O2/N2/H2O = 5/10/45/40, C3H8/O2/N2 = 5/10/85",300℃,,,ODH,"C3H8, O2, N2, H2O",Yes,"{'Selectivity': 'Structural composition', 'Conversion': 'Process conditions'}",18-83%,,,,,,,,,,,,,,10.3389/fchem.2021.746229,2021.0
CrOx/Al2O3,Metal Oxide,"Cr, O, Al",Cr,Alumina,{'propane conversion': '39-49%'},49% to 39% conversion over 6 hours,,550℃,5000 mL/min,WHSV=0.1 h-1,PDH,"propane, N2",No,"{'Stability': 'Process Conditions', 'Selectivity': 'Process Conditions'}",76-89%,,,Na,6 hours,1 h-1,,,,,,,,,10.1002/cctc.201402649,2014.0
VOx/Siral,Metal Oxide,V,"V, O",Siral (Al2O3-SiO2),{'Propane conversion': '30%'},Decreases over time,"40% C3H8, 60% N2",550℃,6 mL/min,1200 L/h/kg,PDH,"C3H8, N2",No,"{'Stability': 'Support Material', 'Conversion': 'Support Material', 'Selectivity': 'Support Material'}",90-95%,,,,6-27 h,1-27 h-1,,90-95%,158 kgC3H6 h-1 mcatalyst-3,,,,,,10.1039/c3cy01083j,2014.0
Ni-Zn-Fe-Bi/γ-Al2O3,Metal Oxide,"Ni, Zn, Fe, Bi",Ni,γ-Al2O3,{'n-butane conversion': '18.6%'},,O2/n-butane = 2.0 mol/mol,450°C,,,ODH,"n-butane, Oxygen",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",49.0%,,,"Zn, Fe",,,,,,,,,,,10.1016/j.mcat.2023.113067,2023.0
PtSn/SAPO-34,Alloy,"Pt, Sn",Pt,SAPO-34,{'propane conversion': '92%'},0.0042 (h-1),C3H8/O2/He = 1/1/8,500 (℃),,1 (g),ODH,"C3H8, O2, He",Yes,"{'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",85%,Nanoparticulate Alloys,Impregnation,Sn,240 (min),0.0069 (h-1),,78%,1.2 (mmol/gcat h),,,,,,10.1021/acscatal.0c02209,2020.0
Pt3Mn intermetallic nanoparticles,Alloy,"Pt, Mn","Pt, Mn",Silica Oxide,{'propane conversion': '40-45%'},0 h-1,,550℃,200 cm3/min,1 g,PDH,"Propane, Hydrogen, Nitrogen",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",98%,Intermetallic Compounds,Impregnation Methods,,stable for 1 week,0.14 h-1,,,,,,,,,10.1021/jacs.8b08162,2018.0
Pt/Al2O3 with ALD Al2O3 overcoat,Metal,"Pt, Al",Pt,Alumina (Al2O3),{'Propane conversion': '10-20%'},,C3H8:H2 = 1:1,600℃,260 mL/min,"26,000,000 mL h-1gPt-1 - 390,000 h-1",PDH,"C3H8, H2",No,"{'Selectivity': 'ALD Al2O3 overcoat', 'Stability': 'ALD Al2O3 overcoat'}",91-96%,,,,1 h steaming,1,,,,,,,,,10.1021/acscatal.0c03391,2020.0
5 wt% Cr/D-ERB-1,Metal Oxide,Cr,Cr,Zeolite,{'ethane conversion': '50%'},15% (6 h),C2H6:CO2:N2 = 5:15:30,973 K,,0.5 g catalyst,ODH,"C2H6, CO2, N2",Yes,"{'Conversion': 'Hydroxyl groups on support', 'Selectivity': 'Cr(VI) species', 'Stability': 'Ti addition'}",90%,,,,6 h,1,,90%,,,,,,,10.1016/j.apcata.2022.118542,2022.0
GaN/MCM-41,Metal Oxide,"Ga, N","Ga, N",Mesoporous Silica (MCM-41),{'Propane conversion': '89-98%'},,C3H8/N2,550-600℃,60-120 mL/min,"0.2 g or 30,000-72,000 h-1",PDH,"C3H8, N2",No,"{'Conversion': 'Preparation Method', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",90-99%,,,,Stable for 48-60 h,0.017-0.021 h-1,,84-91%,0.6-1.2 mol/g cat/h,,,,,,10.1002/cctc.202201063,2022.0
5% ZrO2/TiO2 binary metal oxide,Metal Oxide,"Zr, Ti","Zr, Ti",TiO2,{'Propane conversion': '59-90%'},,CO2:C3H8 ratio 1:1.4 to 12.2:1,600℃,,"0.3 g, GHSV 9.6 h-1",PDH,"Propane, CO2",No,"{'Selectivity': 'Feed Composition and Ratios', 'Stability': 'Feed Composition and Ratios'}",24-63%,,,,29-203 hours,29-203 h-1,,29-45%,,,,,,,10.1016/j.jece.2020.104989,2021.0
PtSnIn/1.5Ca-Al,Alloy,"Pt, Sn, In","Pt, Sn, In",Aluminum Oxide,{'propane conversion': '60.1%'},1.2% decrease after 22 h,H2:C3H8:Ar = 7:8:35,600℃,WHSV = 3.3 h-1,0.3 g,PDH,"H2, C3H8, Ar",No,{'Stability': 'Promoter Addition'},97.5%,Nanoparticulate Alloys,Impregnation Methods,Ca,1.2% decrease over 22 h,0.055 h-1,,58.1%,,,,,,,10.1016/j.cej.2014.07.044,2014.0
RhSn/γ-Al2O3,Alloy,"Rh, Sn",Rh,γ-Al2O3,{'Propane conversion': '30.8%'},27.2% over 20 h,H2:N2:C3H8 = 1:1:1,600 °C,30 mL/min,WHSV = 10.8 h-1,PDH,"H2, N2, C3H8",No,"{'Selectivity': 'Sn addition', 'Conversion': 'Sn addition', 'Stability': 'Increasing Sn content'}",96.3%,Nanoparticulate Alloys,Co-impregnation,Sn,27 h,1 h-1,,26.8%,,,,,,,10.1016/j.jcat.2020.09.016,2020.0
PtSn clusters in MFI zeolite,Alloy,"Pt, Sn",Pt,MFI zeolite,{'Propane conversion': '50%'},"0.20 h-1, 0.067 h-1",Propane:N2 = 1:3.3,600℃,21.5 ml/min,20 mg catalyst,PDH,"Propane, Nitrogen",No,"{'Stability': 'Catalyst preparation method', 'Selectivity': 'Catalyst preparation method'}",82-97%,Subnanometric clusters,One-pot hydrothermal synthesis and heat treatment,Sn,15 h,0.067 h-1,,40-48%,,,,,,,10.1038/s41929-020-0472-7,2020.0
Pd3Pb intermetallic nanoparticles,Alloy,"Pd, Pb",Pd,Nanosheet-assembled Al2O3,{'Phenylacetylene conversion': '~100%'},,,25℃,,,PDH,"Hydrogen, Phenylacetylene",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",97-98%,Intermetallic Compounds,Heat Treatment,Pb,,,,,,,,,,,10.1021/acs.inorgchem.2c00796,2022.0
β-NaVO3/SiO2,Metal Oxide,"V, Na, Si, O",V,Silica Oxide,{'propane conversion': '8.2%'},21% over 4 h,,450 °C,21 ml/min,1 V nm-2,ODH,"C3H8, Air",Yes,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",59%,,,Na,4 h,0.25 h-1,,,,,,,,,10.1039/d0cy01234c,2020.0
Y-doped TiO2,Metal Oxide,"Ti, O, Y",Ti,,{'propane conversion': '42%'},,C3H8/N2 = 1.5:15,600 ℃,16.5 mL/min,0.4 g,PDH,"C3H8, N2",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92%,,,,10 cycles,10 h-1,,39%,,,,,,,10.1016/j.jre.2023.03.007,2023.0
PtIn/Mg(Al)O-p8,Alloy,"Pt, In",Pt,Mg(Al)O,{'Propane conversion': '51.7%'},,H2:C3H8:Ar = 7:8:35,620 ℃,,WHSV = 3.3 h-1,PDH,"H2, C3H8, Ar",No,"{'Conversion': 'Preparation method (pH control)', 'Selectivity': 'Preparation method (pH control)', 'Stability': 'Preparation method (pH control)'}",95.5%,Nanoparticulate Alloys,Impregnation Methods,In,28 h,1.75 h-1,,37%,,,,,,,10.1016/j.jcat.2016.02.028,2016.0
Chromia catalyst,Metal oxide,Cr,Cr,Alumina,{'Propane conversion': '50%'},10-10000 min,,873 K,0.273 kmol/s,,PDH,Propane,No,"{'Conversion': 'Reactor design', 'Stability': 'Reactor design'}",95%,,,,10-10000 min,0.0167 - 1.67 h-1,,,,,,,,,10.1016/S0920-5861(01)00372-8,2001.0
60-VOX-SiO2-580,Metal Oxide,"V, Si, O",V,Silica Oxide,{'propane conversion': '55%'},15% decrease over 6 hours,C3H8/Ar = 1:10,580°C,16.5 ml/min,3300 cm3 g-1 cat h-1,PDH,"C3H8, Ar",No,"{'Conversion': 'Preparation Method', 'Selectivity': 'Structural Composition', 'Stability': 'Preparation Method'}",91%,,,,stable for 8 reaction-regeneration cycles,,,50%,4.05 × 10-3 mol/h,,,,,,10.1016/j.jcat.2017.12.004,2018.0
